region,xh5,xi1,_v23,_v176,_v181,_v145,wage,education,experience,has_wage,gender,unempl_wage
1,2,2,NA,0,NA,5,NA,5,0,NA,2,NA
1,2,2,NA,25,NA,1,NA,1,25,NA,2,NA
1,1,1,NA,10,30000,5,NA,5,10,NA,1,30000
1,1,1,NA,40,NA,1,NA,1,40,NA,1,NA
1,2,1,NA,99999996,30000,1,NA,1,99999996,NA,2,30000
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,28,NA,5,NA,5,28,NA,2,NA
1,2,1,NA,41,NA,6,NA,6,41,NA,2,NA
1,2,2,20000,15,NA,5,20000,5,15,0,2,NA
1,1,2,30000,0,NA,3,30000,3,0,0,1,NA
1,1,1,NA,12,30000,3,NA,3,12,NA,1,30000
1,1,1,NA,45,NA,3,NA,3,45,NA,1,NA
1,2,1,NA,30,NA,1,NA,1,30,NA,2,NA
1,2,1,25000,25,50000,10,25000,10,25,0,2,50000
1,1,1,15500,28,120000,3,15500,3,28,0,1,120000
1,1,1,NA,28,NA,5,NA,5,28,NA,1,NA
1,2,1,30000,36,NA,6,30000,6,36,0,2,NA
1,2,1,NA,50,NA,5,NA,5,50,NA,2,NA
1,1,1,NA,11,NA,3,NA,3,11,NA,1,NA
1,2,1,20000,41,NA,6,20000,6,41,0,2,NA
1,2,1,NA,46,NA,1,NA,1,46,NA,2,NA
1,1,1,20000,3,40000,1,20000,1,3,0,1,40000
1,2,1,15000,15,NA,3,15000,3,15,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,1,NA,41,NA,3,NA,3,41,NA,1,NA
1,2,1,40000,25,NA,10,40000,10,25,0,2,NA
1,2,1,NA,54,NA,1,NA,1,54,NA,2,NA
1,2,1,NA,37,NA,6,NA,6,37,NA,2,NA
1,2,1,45000,30,NA,11,45000,11,30,0,2,NA
1,1,1,15000,45,NA,6,15000,6,45,0,1,NA
1,2,2,20000,41,NA,6,20000,6,41,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,NA,6,40000,3,NA,3,6,NA,2,40000
1,2,1,NA,NA,99999997,1,NA,1,NA,NA,2,99999997
1,2,1,NA,20,20000,5,NA,5,20,NA,2,20000
1,1,1,NA,30,30000,3,NA,3,30,NA,1,30000
1,2,1,NA,50,NA,4,NA,4,50,NA,2,NA
1,2,1,NA,40,NA,1,NA,1,40,NA,2,NA
1,2,2,NA,31,NA,6,NA,6,31,NA,2,NA
1,2,1,18000,25,NA,6,18000,6,25,0,2,NA
1,1,1,30000,27,NA,3,30000,3,27,0,1,NA
1,1,2,25000,3,NA,6,25000,6,3,0,1,NA
1,1,2,45000,15,NA,5,45000,5,15,0,1,NA
1,2,1,30000,10,40000,3,30000,3,10,0,2,40000
1,2,1,NA,32,NA,4,NA,4,32,NA,2,NA
1,2,1,NA,25,NA,4,NA,4,25,NA,2,NA
1,1,1,30000,16,NA,5,30000,5,16,0,1,NA
1,2,2,NA,NA,20000,1,NA,1,NA,NA,2,20000
1,2,1,15000,13,30000,1,15000,1,13,0,2,30000
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,20,50000,3,NA,3,20,NA,1,50000
1,2,1,NA,57,NA,4,NA,4,57,NA,2,NA
1,2,1,NA,25,25000,2,NA,2,25,NA,2,25000
1,1,1,40000,31,NA,3,40000,3,31,0,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,40000,8,NA,10,40000,10,8,0,2,NA
1,2,1,10000,44,NA,1,10000,1,44,0,2,NA
1,1,1,50000,99999997,NA,10,50000,10,99999997,0,1,NA
1,2,1,NA,99999997,NA,6,NA,6,99999997,NA,2,NA
1,1,1,NA,9,NA,4,NA,4,9,NA,1,NA
1,2,1,99999998,32,NA,10,99999998,10,32,0,2,NA
1,1,1,NA,46,NA,6,NA,6,46,NA,1,NA
1,2,1,14800,29,40000,6,14800,6,29,0,2,40000
1,1,1,40000,4,NA,6,40000,6,4,0,1,NA
1,2,1,30000,30,NA,10,30000,10,30,0,2,NA
1,2,1,44000,12,NA,10,44000,10,12,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,24,NA,6,NA,6,24,NA,2,NA
1,2,1,25000,9,NA,5,25000,5,9,0,2,NA
1,2,1,35000,18,NA,10,35000,10,18,0,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA
1,1,1,99999997,99999997,NA,3,99999997,3,99999997,0,1,NA
1,2,2,30000,99999997,NA,10,30000,10,99999997,0,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,31,NA,4,NA,4,31,NA,2,NA
1,1,1,16000,99999997,30000,1,16000,1,99999997,0,1,30000
1,2,1,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,2,2,14000,37,NA,6,14000,6,37,0,2,NA
1,2,2,25000,0,NA,3,25000,3,0,0,2,NA
1,2,1,30000,35,NA,6,30000,6,35,0,2,NA
1,1,1,99999997,20,NA,10,99999997,10,20,0,1,NA
1,2,2,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,1,2,NA,NA,NA,2,NA,2,NA,NA,1,NA
1,2,2,50000,24,NA,10,50000,10,24,0,2,NA
1,1,1,23000,33,NA,6,23000,6,33,0,1,NA
1,1,2,25000,3,NA,10,25000,10,3,0,1,NA
1,2,2,35000,36,NA,10,35000,10,36,0,2,NA
1,2,1,99999998,32,NA,10,99999998,10,32,0,2,NA
1,1,1,99999998,32,NA,10,99999998,10,32,0,1,NA
1,2,1,99999997,44,NA,10,99999997,10,44,0,2,NA
1,1,1,30000,48,NA,3,30000,3,48,0,1,NA
1,1,1,NA,8,NA,3,NA,3,8,NA,1,NA
1,2,1,35000,39,NA,4,35000,4,39,0,2,NA
1,1,1,NA,25,NA,6,NA,6,25,NA,1,NA
1,1,1,NA,99999997,NA,1,NA,1,99999997,NA,1,NA
1,2,1,NA,99999997,NA,1,NA,1,99999997,NA,2,NA
1,2,1,NA,44,NA,1,NA,1,44,NA,2,NA
1,1,1,NA,28,NA,1,NA,1,28,NA,1,NA
1,2,1,NA,42,NA,10,NA,10,42,NA,2,NA
1,1,1,35000,30,NA,4,35000,4,30,0,1,NA
1,2,1,NA,32,NA,4,NA,4,32,NA,2,NA
1,2,1,NA,5,20000,5,NA,5,5,NA,2,20000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,25000,15,NA,3,25000,3,15,0,1,NA
1,2,1,NA,35,NA,6,NA,6,35,NA,2,NA
1,2,1,15000,48,NA,3,15000,3,48,0,2,NA
1,1,1,NA,36,NA,5,NA,5,36,NA,1,NA
1,2,1,NA,99999997,NA,10,NA,10,99999997,NA,2,NA
1,1,1,NA,46,NA,5,NA,5,46,NA,1,NA
1,2,1,18000,39,NA,6,18000,6,39,0,2,NA
1,2,2,30000,13,55000,10,30000,10,13,0,2,55000
1,1,1,NA,5,NA,5,NA,5,5,NA,1,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,6000,33,NA,6,6000,6,33,0,2,NA
1,1,1,13000,40,NA,6,13000,6,40,0,1,NA
1,2,1,NA,36,50000,5,NA,5,36,NA,2,50000
1,1,2,NA,40,NA,4,NA,4,40,NA,1,NA
1,1,1,NA,31,NA,6,NA,6,31,NA,1,NA
1,2,1,NA,35,NA,6,NA,6,35,NA,2,NA
1,2,1,NA,25,NA,5,NA,5,25,NA,2,NA
1,2,1,NA,39,NA,2,NA,2,39,NA,2,NA
1,2,1,NA,27,NA,6,NA,6,27,NA,2,NA
1,2,1,NA,35,NA,1,NA,1,35,NA,2,NA
1,2,1,45000,31,NA,10,45000,10,31,0,2,NA
1,1,1,55000,26,NA,5,55000,5,26,0,1,NA
