region,gender,relocated,wage,experience,education,age,other_work,health,marital_status,pension,power_ladder,wealth_ladder,NCAT1,NCAT2,NCAT3,NCAT4,NCAT5,NCAT6,total_hh_income,has_wage
1,2,2,31000,17,10,42,2,2,3,2,5,3,0,1,1,1,0,0,63088.33,TRUE
1,1,1,23000,15,3,34,2,3,3,2,5,3,0,1,1,1,0,0,63088.33,TRUE
1,2,1,18000,35,5,51,2,2,5,2,3,3,0,0,0,1,0,0,18000,TRUE
1,1,1,0,41,5,69,2,3,2,1,3,3,0,0,0,0,1,1,25500,FALSE
1,2,1,0,30,1,65,2,3,2,1,2,2,0,0,0,0,1,1,25500,FALSE
1,2,1,0,20,4,57,1,2,5,1,3,3,0,0,0,0,0,1,21099.99,FALSE
1,2,2,0,14,5,38,1,2,1,2,5,3,0,1,0,2,0,1,86300,FALSE
1,2,2,32000,20,11,41,2,2,1,2,4,4,0,1,0,2,0,1,86300,TRUE
1,2,1,0,20,6,61,1,3,5,1,5,4,0,1,0,2,0,1,86300,FALSE
1,2,1,0,35,10,64,2,2,5,1,4,3,0,0,0,0,0,1,24571.35,FALSE
1,2,2,0,0,5,39,2,2,5,1,3,3,0,1,0,1,0,0,9534.18,FALSE
1,2,2,0,25,1,55,2,3,5,2,2,2,0,1,1,1,1,1,32859.93,FALSE
1,1,1,0,10,5,32,1,1,2,2,3,2,0,1,1,1,1,1,32859.93,FALSE
1,1,1,0,40,1,80,2,5,5,1,2,2,0,1,1,1,1,1,32859.93,FALSE
1,2,1,0,99999996,1,23,1,1,2,2,3,3,0,1,1,1,1,1,32859.93,FALSE
1,2,1,0,28,5,69,2,4,5,1,3,3,0,0,0,0,0,1,37979.75,FALSE
1,2,1,0,41,6,80,2,2,5,1,3,3,0,0,0,0,0,1,24163.17,FALSE
1,2,2,20000,15,5,47,2,2,2,2,2,2,0,0,2,1,0,0,54438.54,TRUE
1,1,2,30000,0,3,26,2,1,1,2,3,3,0,0,2,1,0,0,54438.54,TRUE
1,1,1,0,12,3,50,2,3,2,2,2,2,0,0,2,1,0,0,54438.54,FALSE
1,1,1,0,45,3,73,2,3,2,1,3,3,0,0,0,0,1,1,33617.4,FALSE
1,2,1,0,30,1,70,2,5,2,1,2,2,0,0,0,0,1,1,33617.4,FALSE
1,2,1,25000,25,10,46,2,2,2,2,3,3,0,0,1,1,0,0,94700,TRUE
1,1,1,15500,28,3,49,2,3,2,2,3,2,0,0,1,1,0,0,94700,TRUE
1,1,1,0,28,5,57,2,3,2,1,4,4,0,0,1,0,0,1,88462.5,FALSE
1,2,1,30000,36,6,56,2,2,2,1,6,6,0,0,1,0,0,1,88462.5,TRUE
1,2,1,0,50,5,76,2,3,5,1,4,3,0,0,0,0,0,1,19192.92,FALSE
1,1,1,0,11,3,60,2,3,2,1,4,2,0,0,0,0,1,1,47050,FALSE
